"Path","Url","Status","Length","UsefulContent","Canonical","OpenGraph","BadMarker","Optional","Result"
"/","https://www.worldcup2026coin.com/","200","53299","True","True","True","False","False","PASS"
"/fixtures","https://www.worldcup2026coin.com/fixtures","200","422898","True","True","True","False","False","PASS"
"/live","https://www.worldcup2026coin.com/live","200","66553","True","True","True","False","False","PASS"
"/groups","https://www.worldcup2026coin.com/groups","200","164151","True","True","True","False","False","PASS"
"/teams","https://www.worldcup2026coin.com/teams","200","122622","True","True","True","False","False","PASS"
"/predictions","https://www.worldcup2026coin.com/predictions","200","30754","True","True","True","False","False","PASS"
"/news","https://www.worldcup2026coin.com/news","200","48635","True","True","True","False","False","PASS"
"/community","https://www.worldcup2026coin.com/community","200","37644","True","True","True","False","False","PASS"
"/top-scorers","https://www.worldcup2026coin.com/top-scorers","200","20350","True","True","True","False","False","PASS"
"/top-assists","https://www.worldcup2026coin.com/top-assists","200","20350","True","True","True","False","False","PASS"
"/top-cards","https://www.worldcup2026coin.com/top-cards","200","20342","True","True","True","False","False","PASS"
"/privacy","https://www.worldcup2026coin.com/privacy","200","24787","True","True","True","False","False","PASS"
"/sitemap.xml","https://www.worldcup2026coin.com/sitemap.xml","200","28087","True","True","True","False","False","PASS"
"/robots.txt","https://www.worldcup2026coin.com/robots.txt","200","231","True","True","True","False","False","PASS"
"/stadiums","https://www.worldcup2026coin.com/stadiums","200","27596","True","True","True","False","True","PASS"
"/terms","https://www.worldcup2026coin.com/terms","200","24869","True","True","True","False","True","PASS"
"https://www.worldcup2026coin.com/teams/mexico-16","https://www.worldcup2026coin.com/teams/mexico-16","200","111997","True","True","True","False","False","PASS"
"https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371","https://www.worldcup2026coin.com/matches/2026-06-13-brazil-vs-morocco-1489371","200","57265","True","True","True","False","False","PASS"
"/players/[slug]","DISCOVERY_FAILED",,"0","False","False","False","True","False","FAIL"
